,City,Year,NO2,O3,SO2,CO
1269,York,2000,15.683156520930233,0.02714392093023256,5.24678908372093,0.28065237209302324
1270,York,2001,17.98853200471698,0.030968396226415094,5.206228825471698,0.2657463372641509
1271,York,2002,14.88178886255924,0.03271745813586098,5.16544687914692,0.23448305213270143
1272,York,2003,13.992031843601895,0.02814210900473934,3.3519966398104266,0.2949766943127962
1273,York,2004,12.97844447826087,0.02991251690821256,3.9208555652173915,0.4397050869565217
1274,York,2005,14.033750281690141,0.03336556338028169,4.401928338028169,0.050632725352112676
1275,York,2006,13.091791474178402,0.029711446009389672,4.71913003286385,0.295956441314554
1276,York,2007,12.518439990697674,0.0337946511627907,5.340700004651163,0.2074838976744186
1277,York,2008,12.039192766355141,0.029406482866043613,3.501346460280374,0.23719467757009347
1278,York,2009,10.58689958411215,0.02791270093457944,2.800906308411215,0.24264902336448596
1279,York,2010,11.4470207014218,0.03090277251184834,2.1745631327014214,0.2054044075829384
1280,York,2011,11.5160632909699,0.02717444147157191,1.3369736003344481,0.24343991973244145
1281,York,2012,11.872889433427762,0.0258326940509915,1.0259947988668554,0.254788776203966
1282,York,2013,10.374415306397307,0.02625056228956229,0.7178137424242425,0.11177598316498318
1283,York,2014,10.60154564864865,0.025324401544401545,2.282995777992278,0.08476672972972973
1284,York,2015,10.063982799363057,0.02565500955414013,1.7353303248407643,0.10765760191082803
1285,York,2016,13.060322976190475,0.02224066666666667,1.6847772916666666,0.11405334523809525
